"filename", "language", "Properties", "Python", "C", "PowerShell", "Shell Script", "HTML", "JavaScript", "XML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\BlpImagePlugin.py", "Python", 0, 380, 0, 0, 0, 0, 0, 0, 0, 0, 8, 110, 498
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\BmpImagePlugin.py", "Python", 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 89, 62, 516
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\BufrStubImagePlugin.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 15, 24, 76
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ContainerIO.py", "Python", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 18, 31, 174
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\CurImagePlugin.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 27, 18, 76
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\DcxImagePlugin.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 26, 17, 84
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\DdsImagePlugin.py", "Python", 0, 557, 0, 0, 0, 0, 0, 0, 0, 0, 15, 53, 625
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\EpsImagePlugin.py", "Python", 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 99, 70, 477
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ExifTags.py", "Python", 0, 355, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 383
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\FitsImagePlugin.py", "Python", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 15, 30, 153
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\FliImagePlugin.py", "Python", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 34, 37, 179
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\FontFile.py", "Python", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 19, 22, 135
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\FpxImagePlugin.py", "Python", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 55, 60, 258
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\FtexImagePlugin.py", "Python", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 115
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\GbrImagePlugin.py", "Python", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 31, 22, 104
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\GdImageFile.py", "Python", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 103
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\GifImagePlugin.py", "Python", 0, 889, 0, 0, 0, 0, 0, 0, 0, 0, 128, 191, 1208
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\GimpGradientFile.py", "Python", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 17, 40, 150
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\GimpPaletteFile.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 73
